name,designation,department,profile_url,vidwan_id,orcid_id,scopus_id,researcher_id,gscholar_id,total_publications,citations_box,google_scholar_citations,h_index,coauthor_count,expertise
Dr Subrata Ghosh,Professor,Department of Textile Technology,https://nitj.irins.org/profile/33221,33221,0000-0001-7150-3308,14827736600,Y-4525-2019,,142.0,3.0,,17.0,457.0,Materials Science Textiles
Dr Arobindo Chatterjee,Professor,Department of Textile Technology,https://nitj.irins.org/profile/59692,59692,0000-0003-0046-9151,15069355900,Y-1098-2019,https://scholar.google.com/citations?user=ebh2T0sAAAAJ,71.0,4.0,,13.0,49.0,Materials Science Textiles
Prof VINAY MIDHA,Professor,Department of Textile Technology,https://nitj.irins.org/profile/89941,89941,0000-0002-1630-9382,8447457900,Y-5497-2019,https://scholar.google.com/citations?user=Rln7jKAAAAAJ,140.0,5.0,,13.0,250.0,Materials Science Textiles
Dr J N Chakraborty,Professor,Department of Textile Technology,https://nitj.irins.org/profile/90069,90069,0000-0002-3789-8913,7101970447,Y-5335-2019,,117.0,13.0,,17.0,64.0,Chemical Engineering
Prof Sujit Kumar Sinha,Professor,Department of Textile Technology,https://nitj.irins.org/profile/90181,90181,,35459890200,Y-1256-2019,,59.0,1.0,,11.0,85.0,Materials Science Textiles
Prof Arunangshu Mukhopadhyay,Professor,Department of Textile Technology,https://nitj.irins.org/profile/94268,94268,0000-0002-3879-5262,7201816947,V-3574-2019,https://scholar.google.com/citations?user=zlyCnPsAAAAJ,82.0,1.0,,9.0,9.0,Materials Science Textiles
Prof Monica Sikka,Professor,Department of Textile Technology,https://nitj.irins.org/profile/90251,90251,0000-0001-8618-2025,57190438002,Y-1567-2019,https://scholar.google.com/citations?user=Kw3ddNoAAAAJ,114.0,6.0,,9.0,98.0,Materials Science Textiles
Dr Lalit Jajpura,Associate Professor,Department of Textile Technology,https://nitj.irins.org/profile/52714,52714,0000-0001-7496-6607,6507415538,Y-5747-2019,,72.0,1.0,,8.0,104.0,Materials Science Textiles
Dr Awadhesh Kumar Choudhary,Associate Professor,Department of Textile Technology,https://nitj.irins.org/profile/92035,92035,0000-0002-7893-751X,7102838959,Y-6142-2019,https://scholar.google.com/citations?user=ebh2T0,84.0,7.0,,8.0,85.0,Materials Science Textiles
Dr Niranjan  Bhowmick,Associate Professor,Department of Textile Technology,https://nitj.irins.org/profile/90335,90335,0000-0002-8873-8071,16052410600,Y-5320-2019,,17.0,1.0,,5.0,23.0,Materials Science Textiles
